BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
FieldA2,1,0.15,0,1,0,0,193,7.34788079488412e-16,2,0.219705156050622,0.867276223376393,NaN
FieldA2,2,0.15,0,1,0,0,194,7.34788079488412e-16,2,0.726860976777971,0.93200165964663,NaN
Clamp146,1,-30,-1.4,2,0,0,195,7.34788079488412e-16,2,0.281249359250069,0.648004318587482,0.393906909007111
Clamp146,2,-30,-1.4,2,0,0,196,7.34788079488412e-16,2,0.329824827611446,0.623139364644885,0.386619830702166
Clamp146,3,-30,-1.4,2,0,0,197,7.34788079488412e-16,2,0.270386897027493,0.845670033246279,0.565281460897459
Clamp146,4,-30,-1.4,2,0,0,198,7.34788079488412e-16,2,0.282090016640723,0.54698533937335,0.550223048082904
Clamp146,5,-30,-1.4,2,0,0,199,7.34788079488412e-16,2,0.350881714373827,0.6096105966717,0.506701213624446
Clamp146,6,-30,-1.4,2,0,0,200,7.34788079488412e-16,2,0.240238825790584,0.773622010834515,0.408286928541064
Clamp146,7,-30,-1.4,2,0,0,201,7.34788079488412e-16,2,0.270826485939324,0.707432740367949,0.469161915426285
Clamp146,8,-30,-1.4,2,0,0,202,7.34788079488412e-16,2,0.257224331609905,0.540560460649431,0.565898004568384
Clamp146,9,-30,-1.4,2,0,0,203,7.34788079488412e-16,2,0.314086653292179,0.767254427075386,0.58319868176158
Clamp146,10,-30,-1.4,2,0,0,204,7.34788079488412e-16,2,0.291303105652332,0.750536625273526,0.518538808502768
Clamp146,11,-30,-1.4,2,0,0,205,7.34788079488412e-16,2,0.275733160786331,0.572218933142722,0.503376083062612
Clamp146,12,-30,-1.4,2,0,0,206,7.34788079488412e-16,2,0.255002005025744,0.563482249155641,0.465808853215043
Clamp146,13,-30,-1.4,2,0,0,207,7.34788079488412e-16,2,0.287429209798574,0.578213000670075,0.520754151931762
Clamp146,14,-30,-1.4,2,0,0,208,7.34788079488412e-16,2,0.260051063261926,0.791044179350138,0.495788008962397
Clamp146,15,-30,-1.4,2,0,0,209,7.34788079488412e-16,2,0.286210159771144,0.771577176637948,0.553266898391119
Clamp146,16,-30,-1.4,2,0,0,210,7.34788079488412e-16,2,0.242616216652095,0.657436592504382,0.414281135141335
Clamp146,17,-30,-1.4,2,0,0,211,7.34788079488412e-16,2,0.246571057476103,0.805980706587434,0.445372509799695
Clamp146,18,-30,-1.4,2,0,0,212,7.34788079488412e-16,2,0.309085381217301,0.790308117866516,0.466781977962765
Clamp146,19,-30,-1.4,2,0,0,213,7.34788079488412e-16,2,0.574060429818928,0.752874518744648,0.478687230023538
Clamp146,20,-30,-1.4,2,0,0,214,7.34788079488412e-16,2,0.280169769190252,0.659555057063699,0.385419324508478
Clamp146,21,-30,-1.4,2,0,0,215,7.34788079488412e-16,2,0.253711761906743,0.641916872933507,0.436113404377302
Clamp146,22,-30,-1.4,2,0,0,216,7.34788079488412e-16,2,0.241430569440126,0.634396311827004,0.398195560975729
Clamp146,23,-30,-1.4,2,0,0,217,7.34788079488412e-16,2,0.291405261494219,0.828655271790922,0.385013461900775
Clamp146,24,-30,-1.4,2,0,0,218,7.34788079488412e-16,2,0.341670819558203,0.599093125201762,0.403608674147666
Clamp146,25,-30,-1.4,2,0,0,219,7.34788079488412e-16,2,0.306201597675681,0.502948149107397,0.435872345146508
Clamp146,26,-30,-1.4,2,0,0,220,7.34788079488412e-16,2,0.325783921405673,0.807903635315597,0.3828524973172
Clamp146,27,-30,-1.4,2,0,0,221,7.34788079488412e-16,2,0.317167679779232,0.902351936325431,0.285665164686946
Clamp146,28,-30,-1.4,2,0,0,222,7.34788079488412e-16,2,0.27641534153372,0.737010782584548,0.260113123870661
Clamp146,29,-30,-1.4,2,0,0,223,7.34788079488412e-16,2,0.262139295227826,0.660581496544182,0.242755098052747
Clamp146,30,-30,-1.4,2,0,0,224,7.34788079488412e-16,2,0.285134959034622,0.641881519928575,0.342473413419193
Clamp146,31,-30,-1.4,2,0,0,225,7.34788079488412e-16,2,0.376208443194628,0.751091049052775,0.346224245973463
Clamp146,32,-30,-1.4,2,0,0,226,7.34788079488412e-16,2,0.281086983159184,0.837992946617305,0.290816478122111
Clamp146,33,-30,-1.4,2,0,0,227,7.34788079488412e-16,2,0.29372535739094,0.627153451554477,0.18872537268599
Clamp146,34,-30,-1.4,2,0,0,228,7.34788079488412e-16,2,0.370705897919834,0.770227932371199,0.230636268426315
Clamp146,35,-30,-1.4,2,0,0,229,7.34788079488412e-16,2,0.247298830188811,1.10873336903751,0.332058138699952
Clamp146,36,-30,-1.4,2,0,0,230,7.34788079488412e-16,2,0.310107676312327,0.816262413747609,0.304648856729274
Clamp146,37,-30,-1.4,2,0,0,231,7.34788079488412e-16,2,0.276903448626399,0.848638175986707,0.221891966895871
Clamp146,38,-30,-1.4,2,0,0,232,7.34788079488412e-16,2,0.251641816459596,0.692530347034335,0.244773636674462
Clamp146,39,-30,-1.4,2,0,0,233,7.34788079488412e-16,2,0.267628188244998,0.760769328102469,0.278845886091395
Clamp146,40,-30,-1.4,2,0,0,234,7.34788079488412e-16,2,0.278969737701118,0.815161123871803,0.238810672411012
Clamp146,41,-30,-1.4,2,0,0,235,7.34788079488412e-16,2,0.24647109489888,0.63156153447926,0.260940947932371
Clamp146,42,-30,-1.4,2,0,0,236,7.34788079488412e-16,2,0.262256567366421,0.608435433357954,0.271988157880802
Clamp146,43,-30,-1.4,2,0,0,237,7.34788079488412e-16,2,0.272757217288017,0.655473191291094,0.243493584332051
Clamp146,44,-30,-1.4,2,0,0,238,7.34788079488412e-16,2,0.330228820443153,0.663532083854079,0.231334485661408
Clamp146,45,-30,-1.4,2,0,0,239,7.34788079488412e-16,2,0.255219969898462,0.607239545322955,0.197120737903391
Clamp146,46,-30,-1.4,2,0,0,240,7.34788079488412e-16,2,0.261370562948287,0.880908855237067,0.209524827541264
Clamp146,47,-30,-1.4,2,0,0,241,7.34788079488412e-16,2,0.267805194482207,0.776787638664246,0.136944160980473
Clamp146,48,-30,-1.4,2,0,0,242,7.34788079488412e-16,2,0.344662367366254,0.76598490960896,0.22158584192951
Clamp146,49,-30,-1.4,2,0,0,243,7.34788079488412e-16,2,0.282173643819988,0.631248725578189,0.299484848953185
Clamp146,50,-30,-1.4,2,0,0,244,7.34788079488412e-16,2,0.350673013366759,0.771613016724586,0.320613722719204
Clamp146,51,-30,-1.4,2,0,0,245,7.34788079488412e-16,2,0.344796949997544,0.624016348272562,0.205420732976351
Clamp146,52,-30,-1.4,2,0,0,246,7.34788079488412e-16,2,0.268413499929011,0.849635845981538,0.157734678588874
Clamp146,53,-30,-1.4,2,0,0,247,7.34788079488412e-16,2,0.306091639213264,0.55845976434648,0.265345642543404
Clamp146,54,-30,-1.4,2,0,0,248,7.34788079488412e-16,2,0.303121303208172,0.586427686735988,0.301436703886942
Clamp146,55,-30,-1.4,2,0,0,249,7.34788079488412e-16,2,0.310265176929533,0.838109975680709,0.222049378364344
Clamp146,56,-30,-1.4,2,0,0,250,7.34788079488412e-16,2,0.278778834268451,0.641938814893365,0.16153383798611
Clamp146,57,-30,-1.4,2,0,0,251,7.34788079488412e-16,2,0.292240067385137,0.6638387972489,0.171501484382125
Clamp146,58,-30,-1.4,2,0,0,252,7.34788079488412e-16,2,0.301726954989135,0.628112843260169,0.134041985834597
Clamp146,59,-30,-1.4,2,0,0,253,7.34788079488412e-16,2,0.347965504042804,0.836897265166044,0.217146635148164
Clamp146,60,-30,-1.4,2,0,0,254,7.34788079488412e-16,2,0.329761924222112,0.732870890758932,0.161188184223182
Clamp146,61,-30,-1.4,2,0,0,255,7.34788079488412e-16,2,0.285344147123396,0.62466927152127,0.168964146574738
