BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
FieldA,2,-0.15,0,1,0,0,72,7.34788079488412e-16,2,0.271569131873548,1.86052244529128,NaN
FieldA,3,-0.15,0,1,0,0,73,7.34788079488412e-16,2,0.315310335718095,0.865695360116661,NaN
FieldA,4,-0.15,0,1,0,0,74,7.34788079488412e-16,2,0.311004408635199,1.47437874786556,NaN
FieldA,5,-0.15,0,1,0,0,75,7.34788079488412e-16,2,0.414676039479673,1.59443342965096,NaN
FieldA,6,-0.15,0,1,0,0,76,7.34788079488412e-16,2,0.31135256960988,1.28727073315531,NaN
FieldA,7,-30,-1.4,2,0,0,77,7.34788079488412e-16,2,0.342692626640201,1.17160194832832,-0.854103854907519
FieldA,8,-0.15,0,1,0,0,78,7.34788079488412e-16,2,0.260282683186233,1.82686278130859,NaN
FieldA,9,-0.15,0,1,0,0,79,7.34788079488412e-16,2,0.263211327604949,1.72686390206218,NaN
FieldA,10,-0.15,0,1,0,0,80,7.34788079488412e-16,2,0.287308767437935,1.14338387642056,NaN
FieldA,1,-0.15,0,1,0,0,81,7.34788079488412e-16,2,0.277730451896787,1.38132479507476,NaN
FieldA,2,-0.15,0,1,0,0,82,7.34788079488412e-16,2,0.325757834129035,1.08278053533286,NaN
FieldA,3,-0.15,0,1,0,0,83,7.34788079488412e-16,2,0.279993738979101,1.55871600937098,NaN
FieldA,4,-0.15,0,1,0,0,84,7.34788079488412e-16,2,0.292380745522678,0.977332748472691,NaN
FieldA,5,-0.15,0,1,0,0,85,7.34788079488412e-16,2,0.375933670438826,1.71450225263834,NaN
FieldA,6,-0.15,0,1,0,0,86,7.34788079488412e-16,2,0.334215843118727,1.30104550626129,NaN
FieldA,7,-0.15,0,1,0,0,87,7.34788079488412e-16,2,0.551428531296551,0.937820427119732,NaN
FieldA,8,-0.15,0,1,0,0,88,7.34788079488412e-16,2,0.307118810713291,1.44392177090049,NaN
FieldA,9,-30,-1.4,2,0,0,89,7.34788079488412e-16,2,0.537816379219294,1.0325849512592,-0.617074010866886
FieldA,10,-0.15,0,1,0,0,90,7.34788079488412e-16,2,0.358501749113202,0.619077491573989,NaN
FieldA,1,-0.15,0,1,0,0,91,7.34788079488412e-16,2,0.394798949360847,1.13394697010517,NaN
FieldA,2,-0.15,0,1,0,0,92,7.34788079488412e-16,2,0.348832247778773,1.2624374749139,NaN
FieldA,3,-30,-1.4,2,0,0,93,7.34788079488412e-16,2,0.452170103788376,1.04428490065038,-0.632771880301032
FieldA,4,-0.15,0,1,0,0,94,7.34788079488412e-16,2,0.337322956882417,1.34275284782052,NaN
FieldA,5,-0.15,0,1,0,0,95,7.34788079488412e-16,2,0.301855685189366,1.64348603319377,NaN
FieldA,6,-0.15,0,1,0,0,96,7.34788079488412e-16,2,0.417031244374812,1.60676899179816,NaN
FieldA,7,-0.15,0,1,0,0,97,7.34788079488412e-16,2,0.348878571763635,1.82627666182816,NaN
FieldA,8,-0.15,0,1,0,0,98,7.34788079488412e-16,2,0.410346707329154,1.33220319356769,NaN
FieldA,9,-0.15,0,1,0,0,99,7.34788079488412e-16,2,0.382322708144784,1.74347735382617,NaN
FieldA,10,-0.15,0,1,0,0,100,7.34788079488412e-16,2,0.336202407255769,0.917875801213086,NaN
FieldA,1,-0.15,0,1,0,0,101,7.34788079488412e-16,2,0.340470788069069,1.15904281288385,NaN
